mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
-308.6680908203125,58.7574462890625,-3.567504644393921,-25.635948181152344,-2.4811830520629883,-10.959689140319824,-12.113866806030273,-4.369025707244873,-3.2161431312561035,-6.124693393707275,-6.217518329620361,-4.085391521453857,0.39111679792404175,5.0
-597.1893310546875,37.490760803222656,25.02268409729004,21.302881240844727,-22.77324104309082,-2.20367431640625,-24.055166244506836,-10.355830192565918,-16.78580665588379,-6.942593574523926,-2.7834694385528564,-2.000887393951416,-4.281196594238281,3.0
-475.6236572265625,95.2602310180664,-6.846446514129639,5.43731689453125,-25.562694549560547,25.531227111816406,-24.3909969329834,5.101240158081055,4.240160942077637,-8.147612571716309,-0.5887208580970764,-14.293763160705566,-3.885040521621704,1.0
-396.5047302246094,67.94820404052734,-1.9829601049423218,-28.17537498474121,-29.800241470336914,-20.791555404663086,-48.78251266479492,-34.806236267089844,-54.144676208496094,-16.21999740600586,-29.114248275756836,-2.594921827316284,-10.121940612792969,2.0
-583.990966796875,124.04094696044922,7.261443614959717,-70.1862564086914,-29.382125854492188,1.7120226621627808,-14.057243347167969,-0.8828434348106384,-19.0655460357666,0.7169832587242126,-7.910482406616211,-5.549837589263916,-5.403146266937256,4.0
-502.9329528808594,53.16986846923828,33.87711715698242,16.136438369750977,-28.52375030517578,6.224093914031982,-42.65389633178711,-10.601956367492676,-23.814363479614258,-5.968980312347412,-17.881546020507812,0.4661523103713989,-3.52960467338562,3.0
-571.7820434570312,84.04188537597656,-25.6870174407959,-39.12236022949219,-9.438100814819336,5.314670085906982,-14.694950103759766,2.4338455200195312,-14.855937957763672,10.246600151062012,-3.3276407718658447,-9.167927742004395,-2.8537111282348633,4.0
-427.37652587890625,-10.09440803527832,29.83978843688965,12.345491409301758,-41.63320541381836,-40.051055908203125,-29.65526580810547,-31.806194305419922,-36.88988494873047,-7.446703910827637,-32.544864654541016,-4.428531646728516,-15.746564865112305,3.0
-337.2485656738281,68.43904113769531,12.704200744628906,-11.122671127319336,8.81849479675293,-19.459720611572266,-6.796440124511719,-7.478595733642578,-8.281362533569336,-5.2208356857299805,-3.5598373413085938,-8.201887130737305,-6.532475471496582,1.0
-382.3713684082031,107.78523254394531,30.04736328125,-23.01584243774414,3.2074294090270996,-22.6160945892334,-21.809703826904297,-13.915308952331543,-13.159764289855957,-9.82594108581543,-14.8880615234375,-18.585224151611328,-16.15544319152832,1.0
-580.7304077148438,55.51976776123047,18.335235595703125,20.943971633911133,-16.075220108032227,-20.355905532836914,-8.409064292907715,-15.183086395263672,-12.266561508178711,-0.1897178739309311,-0.24523991346359253,0.00269123213365674,-15.135316848754883,0.0
-393.8214111328125,10.764505386352539,14.288666725158691,18.131072998046875,-28.520858764648438,4.996756076812744,-14.958063125610352,3.8220553398132324,-8.1763916015625,2.7598319053649902,0.4730319380760193,-0.43656373023986816,-2.0395941734313965,6.0
-320.7233581542969,59.843406677246094,-3.153428554534912,-21.13105010986328,1.4964632987976074,-13.433812141418457,-4.346624374389648,-11.392411231994629,-0.8233981728553772,2.5097880363464355,-6.376938819885254,-1.264530897140503,-4.177674293518066,5.0
-350.7838439941406,78.05172729492188,14.954961776733398,3.042494297027588,-12.13794231414795,-17.797388076782227,-18.84364128112793,-6.0820112228393555,-18.48474884033203,-21.638660430908203,-17.288829803466797,-22.463031768798828,-6.8503098487854,9.0
