log_rent,log_area,sqrt_hoa,rooms,furnished,bathroom,animal_accept
8.633731007664188,4.248495242049359,45.44227107000705,2.0,1,1.0,1
8.983816112502495,5.768320995793772,34.64101615137755,4.0,0,4.0,1
8.253488028345904,4.382026634673881,31.622776601683793,1.0,0,1.0,1
7.259116128097101,3.9318256327243257,16.431676725154983,2.0,0,1.0,1
6.728628613084702,3.2188758248682006,0.0,1.0,0,1.0,0
9.099967314494812,5.929589143389895,0.0,3.0,0,3.0,1
7.919356190660617,4.276666119016055,27.202941017470888,2.0,0,1.0,1
8.889170455363413,5.3612921657094255,47.47630988187688,4.0,0,4.0,1
9.70747266861017,5.0238805208462765,31.622776601683793,2.0,1,2.0,1
7.991253929840199,3.5553480614894135,24.289915602982237,1.0,1,1.0,1
7.918264686095274,3.258096538021482,21.6794833886788,1.0,1,1.0,1
7.074116816197362,3.828641396489095,23.45207879911715,1.0,0,1.0,1
7.846198815497425,3.58351893845611,18.947295321496416,1.0,0,1.0,1
8.569406062863171,4.007333185232471,28.106938645110393,1.0,1,1.0,1
8.583542571957771,4.605170185988092,30.0,2.0,1,2.0,1
9.119211438565081,5.799092654460526,26.076809620810597,4.0,1,6.0,1
8.258681496264236,4.700480365792417,26.457513110645905,2.0,0,2.0,1
8.585038738311304,4.477336814478207,40.17461885320133,2.0,1,3.0,0
7.618742377670413,4.02535169073515,28.284271247461902,2.0,0,1.0,1
9.984145455553582,6.396929655216146,0.0,4.0,0,5.0,1
8.288031567776464,4.605170185988092,0.0,7.0,0,4.0,1
8.122074375362217,3.7376696182833684,21.6794833886788,1.0,1,1.0,0
8.19478163844336,5.075173815233827,39.11521443121589,3.0,1,2.0,1
7.018401799069201,3.5553480614894135,0.0,1.0,0,1.0,1
7.91644286012226,4.499809670330265,28.284271247461902,3.0,0,2.0,1
8.310660905907225,3.8918202981106265,21.908902300206645,1.0,0,1.0,1
8.19946419761216,3.713572066704308,24.49489742783178,1.0,1,1.0,0
7.5766097669730375,4.1588830833596715,18.76166303929372,2.0,0,2.0,1
8.1101268019411,5.337538079701318,0.0,3.0,0,2.0,1
7.845807502637805,2.995732273553991,24.535688292770594,1.0,1,1.0,1
7.602900462204755,4.007333185232471,27.92848008753788,2.0,0,2.0,1
7.725771441587952,3.4657359027997265,22.693611435820433,1.0,0,1.0,1
8.295798110636145,4.382026634673881,34.75629439396553,2.0,0,2.0,1
8.62622695244036,3.8066624897703196,49.49747468305833,1.0,1,1.0,1
8.802522498284421,5.857933154483459,45.8257569495584,4.0,0,4.0,1
7.70796153183549,3.6375861597263857,21.213203435596427,1.0,0,1.0,0
7.640603826393634,3.4011973816621555,21.447610589527216,1.0,0,1.0,1
9.359622074691938,4.382026634673881,0.0,3.0,0,2.0,1
7.112327444710911,4.248495242049359,0.0,2.0,0,1.0,0
8.138564737261632,3.6888794541139363,19.748417658131498,1.0,1,1.0,1
9.76652169746297,5.703782474656201,60.8276253029822,4.0,0,6.0,1
8.254528881939745,5.480638923341991,0.0,3.0,0,2.0,1
8.144098463338524,5.298317366548036,29.154759474226502,4.0,0,2.0,0
7.755767170102998,3.8066624897703196,22.360679774997898,1.0,0,1.0,1
9.432683603119623,5.886104031450156,63.245553203367585,4.0,0,5.0,1
8.253227645581772,3.6888794541139363,31.272991542223778,1.0,1,1.0,1
